"Plot Title: nosmoke_2"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 21445614, SEN S/N: 21445614)","RH, % (LGR S/N: 21445614, SEN S/N: 21445614)","Coupler Detached (LGR S/N: 21445614)","Coupler Attached (LGR S/N: 21445614)","Host Connected (LGR S/N: 21445614)","Stopped (LGR S/N: 21445614)","End Of File (LGR S/N: 21445614)"
1,04/23/24 05:00:00 PM,73.346,43.053,Logged,,,,
2,04/23/24 05:30:00 PM,73.501,44.347,,,,,
3,04/23/24 06:00:00 PM,72.651,45.177,,,,,
4,04/23/24 06:30:00 PM,71.416,47.448,,,,,
5,04/23/24 07:00:00 PM,69.795,51.233,,,,,
6,04/23/24 07:30:00 PM,68.328,56.166,,,,,
7,04/23/24 08:00:00 PM,67.091,58.681,,,,,
8,04/23/24 08:30:00 PM,66.243,61.392,,,,,
9,04/23/24 09:00:00 PM,65.624,63.028,,,,,
10,04/23/24 09:30:00 PM,65.007,64.103,,,,,
11,04/23/24 10:00:00 PM,64.699,65.372,,,,,
12,04/23/24 10:30:00 PM,63.849,66.129,,,,,
13,04/23/24 11:00:00 PM,63.000,66.764,,,,,
14,04/23/24 11:30:00 PM,62.227,67.595,,,,,
15,04/24/24 12:00:00 AM,61.686,69.963,,,,,
16,04/24/24 12:30:00 AM,61.223,68.254,,,,,
17,04/24/24 01:00:00 AM,60.838,64.151,,,,,
18,04/24/24 01:30:00 AM,60.451,64.176,,,,,
19,04/24/24 02:00:00 AM,60.066,68.718,,,,,
20,04/24/24 02:30:00 AM,59.756,69.719,,,,,
21,04/24/24 03:00:00 AM,59.369,70.061,,,,,
22,04/24/24 03:30:00 AM,59.061,69.719,,,,,
23,04/24/24 04:00:00 AM,58.752,69.744,,,,,
24,04/24/24 04:30:00 AM,58.444,68.303,,,,,
25,04/24/24 05:00:00 AM,57.902,68.669,,,,,
26,04/24/24 05:30:00 AM,57.672,72.210,,,,,
27,04/24/24 06:00:00 AM,57.439,72.234,,,,,
28,04/24/24 06:30:00 AM,57.362,71.722,,,,,
29,04/24/24 07:00:00 AM,57.594,70.281,,,,,
30,04/24/24 07:30:00 AM,57.902,69.084,,,,,
31,04/24/24 08:00:00 AM,58.366,71.502,,,,,
32,04/24/24 08:30:00 AM,59.139,72.454,,,,,
33,04/24/24 09:00:00 AM,59.988,73.773,,,,,
34,04/24/24 09:30:00 AM,60.913,71.819,,,,,
35,04/24/24 10:00:00 AM,62.073,71.477,,,,,
36,04/24/24 10:30:00 AM,64.002,71.966,,,,,
37,04/24/24 10:30:23 AM,,,,Logged,Logged,,
38,04/24/24 10:30:34 AM,,,,,,Logged,Logged
