"Plot Title: nosmoke_2"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 21445614, SEN S/N: 21445614)","RH, % (LGR S/N: 21445614, SEN S/N: 21445614)","Coupler Detached (LGR S/N: 21445614)","Coupler Attached (LGR S/N: 21445614)","Host Connected (LGR S/N: 21445614)","Stopped (LGR S/N: 21445614)","End Of File (LGR S/N: 21445614)"
1,04/24/24 11:00:00 AM,65.316,68.083,Logged,,,,
2,04/24/24 11:30:00 AM,70.180,58.755,,,,,
3,04/24/24 12:00:00 PM,70.876,56.581,,,,,
4,04/24/24 12:30:00 PM,71.879,52.576,,,,,
5,04/24/24 01:00:00 PM,74.273,51.258,,,,,
6,04/24/24 01:30:00 PM,76.590,49.597,,,,,
7,04/24/24 02:00:00 PM,78.289,48.132,,,,,
8,04/24/24 02:30:00 PM,79.371,41.172,,,,,
9,04/24/24 03:00:00 PM,74.813,50.647,,,,,
10,04/24/24 03:30:00 PM,78.134,45.812,,,,,
11,04/24/24 04:00:00 PM,80.451,43.687,,,,,
12,04/24/24 04:30:00 PM,80.373,42.125,,,,,
13,04/24/24 05:00:00 PM,78.906,43.639,,,,,
14,04/24/24 05:30:00 PM,76.512,46.984,,,,,
15,04/24/24 06:00:00 PM,74.196,50.159,,,,,
16,04/24/24 06:30:00 PM,72.189,53.578,,,,,
17,04/24/24 07:00:00 PM,70.567,53.675,,,,,
18,04/24/24 07:30:00 PM,69.408,57.143,,,,,
19,04/24/24 08:00:00 PM,68.405,57.167,,,,,
20,04/24/24 08:30:00 PM,68.560,55.360,,,,,
21,04/24/24 09:00:00 PM,68.560,54.530,,,,,
22,04/24/24 09:30:00 PM,68.095,55.824,,,,,
23,04/24/24 10:00:00 PM,67.555,55.653,,,,,
24,04/24/24 10:30:00 PM,67.168,58.242,,,,,
25,04/24/24 11:00:00 PM,66.938,57.900,,,,,
26,04/24/24 11:30:00 PM,66.551,57.900,,,,,
27,04/25/24 12:00:00 AM,65.934,59.096,,,,,
28,04/25/24 12:30:00 AM,65.547,58.974,,,,,
29,04/25/24 01:00:00 AM,65.084,60.342,,,,,
30,04/25/24 01:30:00 AM,64.929,59.463,,,,,
