"Plot Title: smoke_2"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 21445613, SEN S/N: 21445613)","RH, % (LGR S/N: 21445613, SEN S/N: 21445613)","Coupler Detached (LGR S/N: 21445613)","Coupler Attached (LGR S/N: 21445613)","Host Connected (LGR S/N: 21445613)","Stopped (LGR S/N: 21445613)","End Of File (LGR S/N: 21445613)"
1,04/23/24 05:00:00 PM,71.571,44.420,Logged,,,,
2,04/23/24 05:15:00 PM,71.571,45.348,,,,,
3,04/23/24 05:30:00 PM,71.416,45.812,,,,,
4,04/23/24 05:45:00 PM,71.107,48.083,,,,,
5,04/23/24 06:00:00 PM,70.335,47.302,,,,,
6,04/23/24 06:15:00 PM,69.872,48.864,,,,,
7,04/23/24 06:30:00 PM,69.177,51.258,,,,,
8,04/23/24 06:45:00 PM,68.173,52.991,,,,,
9,04/23/24 07:00:00 PM,67.323,54.554,,,,,
10,04/23/24 07:15:00 PM,66.396,57.998,,,,,
11,04/23/24 07:30:00 PM,65.624,62.808,,,,,
12,04/23/24 07:45:00 PM,65.161,68.425,,,,,
13,04/23/24 08:00:00 PM,64.699,64.933,,,,,
14,04/23/24 08:15:00 PM,64.467,70.134,,,,,
15,04/23/24 08:30:00 PM,64.234,71.233,,,,,
16,04/23/24 08:45:00 PM,64.080,73.651,,,,,
17,04/23/24 09:00:00 PM,63.772,74.139,,,,,
18,04/23/24 09:15:00 PM,63.617,72.308,,,,,
19,04/23/24 09:30:00 PM,63.540,75.311,,,,,
20,04/23/24 09:45:00 PM,63.385,71.746,,,,,
21,04/23/24 10:00:00 PM,62.767,69.231,,,,,
22,04/23/24 10:15:00 PM,62.305,65.543,,,,,
23,04/23/24 10:30:00 PM,61.763,70.354,,,,,
24,04/23/24 10:45:00 PM,61.378,71.502,,,,,
25,04/23/24 11:00:00 PM,60.913,71.526,,,,,
26,04/23/24 11:15:00 PM,60.528,71.477,,,,,
27,04/23/24 11:30:00 PM,60.296,74.017,,,,,
28,04/23/24 11:45:00 PM,60.066,76.752,,,,,
29,04/24/24 12:00:00 AM,59.911,71.575,,,,,
30,04/24/24 12:15:00 AM,59.756,74.017,,,,,
31,04/24/24 12:30:00 AM,59.601,74.017,,,,,
32,04/24/24 12:45:00 AM,59.524,74.115,,,,,
33,04/24/24 01:00:00 AM,59.369,74.921,,,,,
34,04/24/24 01:15:00 AM,59.369,78.022,,,,,
35,04/24/24 01:30:00 AM,59.446,70.672,,,,,
36,04/24/24 01:45:00 AM,58.984,71.453,,,,,
37,04/24/24 02:00:00 AM,58.752,74.603,,,,,
38,04/24/24 02:15:00 AM,58.521,74.383,,,,,
39,04/24/24 02:30:00 AM,58.444,77.045,,,,,
40,04/24/24 02:45:00 AM,58.289,76.801,,,,,
41,04/24/24 03:00:00 AM,58.134,73.431,,,,,
42,04/24/24 03:15:00 AM,57.825,76.264,,,,,
43,04/24/24 03:30:00 AM,57.672,73.968,,,,,
44,04/24/24 03:45:00 AM,57.439,73.407,,,,,
45,04/24/24 04:00:00 AM,57.285,73.284,,,,,
46,04/24/24 04:15:00 AM,57.207,74.725,,,,,
47,04/24/24 04:30:00 AM,57.207,78.242,,,,,
48,04/24/24 04:45:00 AM,56.977,73.114,,,,,
49,04/24/24 05:00:00 AM,56.667,75.604,,,,,
50,04/24/24 05:15:00 AM,56.590,73.651,,,,,
51,04/24/24 05:30:00 AM,56.435,76.337,,,,,
52,04/24/24 05:45:00 AM,56.203,75.189,,,,,
53,04/24/24 06:00:00 AM,56.050,75.556,,,,,
54,04/24/24 06:15:00 AM,55.972,74.701,,,,,
55,04/24/24 06:30:00 AM,56.050,74.090,,,,,
56,04/24/24 06:45:00 AM,56.203,77.387,,,,,
57,04/24/24 07:00:00 AM,56.512,75.726,,,,,
58,04/24/24 07:15:00 AM,56.822,75.189,,,,,
59,04/24/24 07:30:00 AM,57.130,79.780,,,,,
60,04/24/24 07:45:00 AM,57.594,81.612,,,,,
61,04/24/24 08:00:00 AM,58.057,81.245,,,,,
62,04/24/24 08:15:00 AM,58.366,80.708,,,,,
63,04/24/24 08:30:00 AM,58.829,79.512,,,,,
64,04/24/24 08:45:00 AM,59.369,80.024,,,,,
65,04/24/24 09:00:00 AM,59.756,82.393,,,,,
66,04/24/24 09:15:00 AM,59.988,74.994,,,,,
67,04/24/24 09:30:00 AM,60.451,78.974,,,,,
68,04/24/24 09:45:00 AM,61.068,79.096,,,,,
69,04/24/24 10:00:00 AM,61.840,78.144,,,,,
70,04/24/24 10:11:49 AM,,,,Logged,Logged,,
71,04/24/24 10:12:15 AM,,,,,,Logged,Logged
