"Plot Title: smoke_2"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 21445613, SEN S/N: 21445613)","RH, % (LGR S/N: 21445613, SEN S/N: 21445613)","Coupler Detached (LGR S/N: 21445613)","Coupler Attached (LGR S/N: 21445613)","Host Connected (LGR S/N: 21445613)","Stopped (LGR S/N: 21445613)","End Of File (LGR S/N: 21445613)"
1,04/24/24 10:30:00 AM,64.699,67.888,Logged,,,,
2,04/24/24 10:45:00 AM,65.239,73.407,,,,,
3,04/24/24 11:00:00 AM,66.166,74.945,,,,,
4,04/24/24 11:15:00 AM,67.633,61.563,,,,,
5,04/24/24 11:30:00 AM,69.255,58.926,,,,,
6,04/24/24 11:45:00 AM,70.104,56.020,,,,,
7,04/24/24 12:00:00 PM,69.949,56.166,,,,,
8,04/24/24 12:15:00 PM,70.027,51.941,,,,,
9,04/24/24 12:30:00 PM,70.876,51.331,,,,,
10,04/24/24 12:45:00 PM,72.034,51.453,,,,,
11,04/24/24 01:00:00 PM,72.651,50.867,,,,,
12,04/24/24 01:15:00 PM,73.423,52.527,,,,,
13,04/24/24 01:30:00 PM,74.041,50.452,,,,,
14,04/24/24 01:45:00 PM,74.505,50.379,,,,,
15,04/24/24 02:00:00 PM,75.355,49.475,,,,,
16,04/24/24 02:15:00 PM,76.127,47.937,,,,,
17,04/24/24 02:30:00 PM,76.977,43.639,,,,,
18,04/24/24 02:45:00 PM,78.289,41.758,,,,,
19,04/24/24 03:00:00 PM,79.678,43.199,,,,,
20,04/24/24 03:15:00 PM,80.296,43.126,,,,,
21,04/24/24 03:30:00 PM,80.683,42.662,,,,,
22,04/24/24 03:45:00 PM,81.145,41.807,,,,,
23,04/24/24 04:00:00 PM,81.300,43.101,,,,,
24,04/24/24 04:15:00 PM,80.992,41.856,,,,,
25,04/24/24 04:30:00 PM,80.373,41.612,,,,,
26,04/24/24 04:45:00 PM,79.061,44.860,,,,,
27,04/24/24 05:00:00 PM,77.904,42.711,,,,,
28,04/24/24 05:15:00 PM,76.977,43.834,,,,,
29,04/24/24 05:30:00 PM,76.359,45.592,,,,,
30,04/24/24 05:45:00 PM,75.277,47.253,,,,,
31,04/24/24 06:00:00 PM,74.196,48.449,,,,,
32,04/24/24 06:15:00 PM,72.883,50.525,,,,,
33,04/24/24 06:30:00 PM,71.494,52.772,,,,,
34,04/24/24 06:45:00 PM,70.412,53.065,,,,,
35,04/24/24 07:00:00 PM,69.562,53.260,,,,,
36,04/24/24 07:15:00 PM,68.713,53.773,,,,,
37,04/24/24 07:30:00 PM,68.018,57.314,,,,,
38,04/24/24 07:45:00 PM,67.401,58.120,,,,,
39,04/24/24 08:00:00 PM,66.938,57.778,,,,,
40,04/24/24 08:15:00 PM,66.938,57.045,,,,,
41,04/24/24 08:30:00 PM,67.091,56.093,,,,,
42,04/24/24 08:45:00 PM,67.246,54.799,,,,,
43,04/24/24 09:00:00 PM,67.168,55.238,,,,,
44,04/24/24 09:15:00 PM,66.938,56.606,,,,,
45,04/24/24 09:30:00 PM,66.706,56.752,,,,,
46,04/24/24 09:45:00 PM,66.396,56.288,,,,,
47,04/24/24 10:00:00 PM,66.011,56.947,,,,,
48,04/24/24 10:15:00 PM,65.701,59.121,,,,,
49,04/24/24 10:30:00 PM,65.471,59.585,,,,,
50,04/24/24 10:45:00 PM,65.471,59.292,,,,,
51,04/24/24 11:00:00 PM,65.239,59.023,,,,,
52,04/24/24 11:15:00 PM,64.929,58.974,,,,,
53,04/24/24 11:30:00 PM,64.774,59.414,,,,,
54,04/24/24 11:45:00 PM,64.467,60.171,,,,,
55,04/25/24 12:00:00 AM,64.157,60.562,,,,,
56,04/25/24 12:15:00 AM,64.080,60.806,,,,,
57,04/25/24 12:30:00 AM,63.849,60.586,,,,,
58,04/25/24 12:45:00 AM,63.540,60.928,,,,,
59,04/25/24 01:00:00 AM,63.230,62.198,,,,,
60,04/25/24 01:15:00 AM,63.462,61.392,,,,,
61,04/25/24 01:30:00 AM,63.307,61.123,,,,,
62,04/25/24 01:45:00 AM,62.767,61.441,,,,,
63,04/25/24 02:00:00 AM,62.227,62.198,,,,,
64,04/25/24 02:15:00 AM,61.840,62.857,,,,,
65,04/25/24 02:30:00 AM,61.610,63.126,,,,,
66,04/25/24 02:45:00 AM,61.378,63.590,,,,,
67,04/25/24 03:00:00 AM,61.378,64.054,,,,,
68,04/25/24 03:15:00 AM,61.300,63.883,,,,,
69,04/25/24 03:30:00 AM,61.300,63.565,,,,,
70,04/25/24 03:45:00 AM,60.991,63.370,,,,,
71,04/25/24 04:00:00 AM,60.606,64.176,,,,,
72,04/25/24 04:15:00 AM,60.219,64.103,,,,,
73,04/25/24 04:30:00 AM,59.911,65.104,,,,,
74,04/25/24 04:45:00 AM,59.756,65.568,,,,,
75,04/25/24 05:00:00 AM,59.756,65.397,,,,,
76,04/25/24 05:15:00 AM,59.833,66.081,,,,,
77,04/25/24 05:30:00 AM,59.911,65.470,,,,,
78,04/25/24 05:45:00 AM,59.911,66.056,,,,,
79,04/25/24 06:00:00 AM,60.066,65.543,,,,,
80,04/25/24 06:15:00 AM,59.988,64.274,,,,,
81,04/25/24 06:30:00 AM,59.679,64.298,,,,,
82,04/25/24 06:45:00 AM,59.524,65.372,,,,,
83,04/25/24 07:00:00 AM,59.524,65.568,,,,,
84,04/25/24 07:15:00 AM,59.601,65.836,,,,,
85,04/25/24 07:30:00 AM,59.911,66.105,,,,,
86,04/25/24 07:45:00 AM,60.451,65.177,,,,,
87,04/25/24 08:00:00 AM,61.378,64.322,,,,,
88,04/25/24 08:15:00 AM,62.305,62.125,,,,,
89,04/25/24 08:30:00 AM,63.230,61.197,,,,,
90,04/25/24 08:45:00 AM,63.772,60.879,,,,,
91,04/25/24 09:00:00 AM,64.389,59.683,,,,,
92,04/25/24 09:15:00 AM,64.389,62.125,,,,,
93,04/25/24 09:30:00 AM,65.471,57.827,,,,,
94,04/25/24 09:45:00 AM,66.396,55.678,,,,,
95,04/25/24 10:00:00 AM,67.555,51.819,,,,,
96,04/25/24 10:15:00 AM,68.328,52.601,,,,,
97,04/25/24 10:30:00 AM,69.640,47.790,,,,,
98,04/25/24 10:45:00 AM,70.644,49.231,,,,,
99,04/25/24 11:00:00 AM,70.952,46.422,,,,,
100,04/25/24 11:15:00 AM,71.029,47.668,,,,,
101,04/25/24 11:30:00 AM,71.262,48.083,,,,,
102,04/25/24 11:45:00 AM,71.802,47.155,,,,,
103,04/25/24 12:00:00 PM,72.034,46.496,,,,,
104,04/25/24 12:15:00 PM,72.189,47.057,,,,,
105,04/25/24 12:30:00 PM,72.496,47.204,,,,,
106,04/25/24 12:45:00 PM,72.729,46.178,,,,,
107,04/25/24 01:00:00 PM,70.952,46.300,,,,,
