"Plot Title: smoke_hobo1"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 21308793, SEN S/N: 21308793)","RH, % (LGR S/N: 21308793, SEN S/N: 21308793)","Coupler Detached (LGR S/N: 21308793)","Coupler Attached (LGR S/N: 21308793)","Host Connected (LGR S/N: 21308793)","Stopped (LGR S/N: 21308793)","End Of File (LGR S/N: 21308793)"
1,04/23/24 05:00:00 PM,71.184,46.276,Logged,,,,
2,04/23/24 05:15:00 PM,71.339,46.935,,,,,
3,04/23/24 05:30:00 PM,70.952,47.570,,,,,
4,04/23/24 05:45:00 PM,70.104,51.184,,,,,
5,04/23/24 06:00:00 PM,69.255,50.989,,,,,
6,04/23/24 06:15:00 PM,68.482,52.039,,,,,
7,04/23/24 06:30:00 PM,67.788,54.066,,,,,
8,04/23/24 06:45:00 PM,67.015,56.142,,,,,
9,04/23/24 07:00:00 PM,66.474,57.778,,,,,
10,04/23/24 07:15:00 PM,65.934,60.464,,,,,
11,04/23/24 07:30:00 PM,65.624,62.393,,,,,
12,04/23/24 07:45:00 PM,65.239,63.492,,,,,
13,04/23/24 08:00:00 PM,64.929,63.541,,,,,
14,04/23/24 08:15:00 PM,64.621,64.811,,,,,
15,04/23/24 08:30:00 PM,64.467,66.154,,,,,
16,04/23/24 08:45:00 PM,64.312,67.009,,,,,
17,04/23/24 09:00:00 PM,64.389,68.303,,,,,
18,04/23/24 09:15:00 PM,64.544,67.033,,,,,
19,04/23/24 09:30:00 PM,64.467,67.082,,,,,
20,04/23/24 09:45:00 PM,64.544,67.448,,,,,
21,04/23/24 10:00:00 PM,64.467,66.789,,,,,
22,04/23/24 10:15:00 PM,64.389,66.447,,,,,
23,04/23/24 10:30:00 PM,64.312,67.326,,,,,
24,04/23/24 10:45:00 PM,64.157,68.278,,,,,
25,04/23/24 11:00:00 PM,63.927,68.230,,,,,
26,04/23/24 11:15:00 PM,63.772,68.498,,,,,
27,04/23/24 11:30:00 PM,63.462,67.717,,,,,
28,04/23/24 11:45:00 PM,63.230,69.426,,,,,
29,04/24/24 12:00:00 AM,63.077,69.402,,,,,
30,04/24/24 12:15:00 AM,62.845,69.353,,,,,
31,04/24/24 12:30:00 AM,62.767,68.620,,,,,
32,04/24/24 12:45:00 AM,62.535,68.645,,,,,
33,04/24/24 01:00:00 AM,62.382,66.984,,,,,
34,04/24/24 01:15:00 AM,62.305,67.082,,,,,
35,04/24/24 01:30:00 AM,62.073,65.690,,,,,
36,04/24/24 01:45:00 AM,61.918,67.668,,,,,
37,04/24/24 02:00:00 AM,61.840,68.523,,,,,
38,04/24/24 02:15:00 AM,61.763,69.109,,,,,
39,04/24/24 02:30:00 AM,61.610,69.792,,,,,
40,04/24/24 02:45:00 AM,61.533,69.695,,,,,
41,04/24/24 03:00:00 AM,61.378,70.379,,,,,
42,04/24/24 03:15:00 AM,61.300,70.476,,,,,
43,04/24/24 03:30:00 AM,61.146,68.303,,,,,
