Date,time,chamber no,tree_id,temp,humidity,co2,par,mass_g,pre_post,melty bags?,weight change_g,actual_mass_g
4/25/24,10:26,smoke,1,19,55,385,435,1717.62,pre ,no,0,1717.62
4/25/24,10:26,smoke,2,19,,385,,1616.54,pre ,no,0,1616.54
4/25/24,10:26,smoke,3,19,,385,,1760.43,pre ,no,0,1760.43
4/25/24,10:26,smoke,4,19,,385,,1769.56,pre ,no,0,1769.56
4/25/24,10:26,smoke,5,19,,385,,1656.64,pre ,no,0,1656.64
4/25/24,10:26,smoke,6,19,,385,,1451.44,pre ,no,0,1451.44
4/25/24,10:32,no_smoke,1,18,62,385,425,1533.33,pre ,no,0,1533.33
4/25/24,10:32,no_smoke,2,18,,385,,1563.23,pre ,no,0,1563.23
4/25/24,10:32,no_smoke,3,18,,385,,1940.1,pre ,no,0,1940.1
4/25/24,10:32,no_smoke,4,18,,385,,1493.62,pre ,no,0,1493.62
4/25/24,10:32,no_smoke,5,18,,385,,1767.38,pre ,no,0,1767.38
4/25/24,10:32,no_smoke,6,18,,385,,1573.07,pre ,no,0,1573.07
4/25/24,10:39,smoke,7,19,54,385,430,1887.38,pre ,no,0,1887.38
4/25/24,10:39,smoke,8,19,,385,,1829.75,pre ,no,0,1829.75
4/25/24,10:39,smoke,9,19,,385,,1758.95,pre ,no,0,1758.95
4/25/24,10:39,smoke,10,19,,385,,1738.01,pre ,no,0,1738.01
4/25/24,10:39,smoke,11,19,,385,,1722.66,pre ,no,0,1722.66
4/25/24,10:39,smoke,12,19,,385,,1664.08,pre ,no,0,1664.08
4/25/24,10:45,no_smoke,7,20,54,385,375,1746.1,pre ,no,0,1746.1
4/25/24,10:45,no_smoke,8,20,,385,,1870,pre ,no,0,1870
4/25/24,10:45,no_smoke,9,20,,385,,1785.8,pre ,no,0,1785.8
4/25/24,10:45,no_smoke,10,20,,385,,1768.74,pre ,no,0,1768.74
4/25/24,10:45,no_smoke,11,20,,385,,1819.24,pre ,no,0,1819.24
4/25/24,10:45,no_smoke,12,20,,385,,1909.01,pre ,no,0,1909.01
4/25/24,2:50,smoke,1,20,71,1996,395,1707.4,post,maybe,0,1707.4
4/25/24,2:50,smoke,2,20,71,1996,,1604.26,post,maybe,0,1604.26
4/25/24,2:50,smoke,3,20,71,1996,,1759.96,post,maybe,0,1759.96
4/25/24,2:50,smoke,4,20,71,1996,,1789.45,post,maybe,0,1789.45
4/25/24,2:50,smoke,5,20,71,1996,,1650.82,post,maybe,0,1650.82
4/25/24,2:50,smoke,6,20,71,1996,,1439.84,post,maybe,0,1439.84
4/25/24,3:15,no_smoke,1,22,55,385,407,1524.3,post,no,0,1524.3
4/25/24,3:15,no_smoke,2,22,55,385,,1548.12,post,no,0,1548.12
4/25/24,3:15,no_smoke,3,22,55,385,,1925.84,post,no,0,1925.84
4/25/24,3:15,no_smoke,4,22,55,385,,1478.43,post,no,0,1478.43
4/25/24,3:15,no_smoke,5,22,55,385,,1753.54,post,no,0,1753.54
4/25/24,3:15,no_smoke,6,22,55,385,,1555.95,post,no,0,1555.95
4/25/24,3:45,smoke,7,21,66,1972,430,1878.19,post,yes,0,1878.19
4/25/24,3:45,smoke,8,21,66,1972,,1747.47,post,yes,0,1747.47
4/25/24,3:45,smoke,9,21,66,1972,,1728.13,post,yes,0,1728.13
4/25/24,3:45,smoke,10,21,66,1972,,1710.49,post,no ,0,1710.49
4/25/24,3:45,smoke,11,21,66,1972,,1647.37,post,no,0,1647.37
4/25/24,3:45,smoke,12,21,66,1972,,1878.02,post,no,0,1878.02
4/25/24,4:40,no_smoke,7,23,48,406,456,1735.66,post,no,0,1735.66
4/25/24,4:40,no_smoke,8,23,48,406,,1860.1,post,no,0,1860.1
4/25/24,4:40,no_smoke,9,23,48,406,,1772.97,post,no,0,1772.97
4/25/24,4:40,no_smoke,10,23,48,406,,1759.78,post,no,0,1759.78
4/25/24,4:40,no_smoke,11,23,48,406,,1801.58,post,no,0,1801.58
4/25/24,4:40,no_smoke,12,23,48,406,,1895.2,post,no,0,1895.2
4/26/24,10:05,smoke,1,17,60,385,387,1688.78,pre,maybe,0,1688.78
4/26/24,10:05,smoke,2,17,60,385,387,1564.34,pre,maybe,0,1564.34
4/26/24,10:05,smoke,3,17,60,385,387,1735.25,pre,maybe,0,1735.25
4/26/24,10:05,smoke,4,17,60,385,387,1770.22,pre,maybe,0,1770.22
4/26/24,10:05,smoke,5,17,60,385,387,1627.02,pre,maybe,0,1627.02
4/26/24,10:05,smoke,6,17,60,385,387,1408.66,pre,maybe,0,1408.66
4/26/24,10:33,no_smoke,1,18,61,385,385,1493.22,pre,no,0,1493.22
4/26/24,10:33,no_smoke,2,18,61,385,385,1505.92,pre,no,0,1505.92
4/26/24,10:33,no_smoke,3,18,61,385,385,1822.02,pre,no,0,1822.02
4/26/24,10:33,no_smoke,4,18,61,385,385,1438.18,pre,no,0,1438.18
4/26/24,10:33,no_smoke,5,18,61,385,385,1718.55,pre,no,0,1718.55
4/26/24,10:33,no_smoke,6,18,61,385,385,1506.69,pre,no,0,1506.69
4/26/24,11:04,smoke,7,19,60,385,325,1864.01,pre,yes,0,1864.01
4/26/24,11:04,smoke,8,19,60,385,325,1791.92,pre,yes,0,1791.92
4/26/24,11:04,smoke,9,19,60,385,325,1727.4,pre,yes,0,1727.4
4/26/24,11:04,smoke,10,19,60,385,325,1713.5,pre,no ,0,1713.5
4/26/24,11:04,smoke,11,19,60,385,325,1694.31,pre,no,0,1694.31
4/26/24,11:04,smoke,12,19,60,385,325,1626.88,pre,no,0,1626.88
4/26/24,11:30,no_smoke,7,21,51,385,381,1710.25,pre,no,0,1710.25
4/26/24,11:30,no_smoke,8,21,51,385,381,1834.13,pre,no,0,1834.13
